Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2022,March,2 Eastern,Wodonga,"2,671","6,109.9"
2022,March,2 Eastern,Yarra Ranges,"4,965","3,153.0"
2022,March,2 Eastern,Total,"76,657","4,471.7"
2022,March,3 Southern Metro,Bayside,"3,334","3,260.9"
2022,March,3 Southern Metro,Cardinia,"4,482","3,638.5"
2022,March,3 Southern Metro,Casey,"14,203","3,746.5"
2022,March,3 Southern Metro,Frankston,"8,301","5,880.5"
2022,March,3 Southern Metro,Glen Eira,"5,018","3,305.1"
2022,March,3 Southern Metro,Greater Dandenong,"11,343","7,120.8"
2022,March,3 Southern Metro,Kingston,"6,795","4,244.0"
2022,March,3 Southern Metro,Mornington Peninsula,"6,390","3,764.7"
2022,March,3 Southern Metro,Port Phillip,"9,136","8,776.5"
2022,March,3 Southern Metro,Stonnington,"7,790","7,312.9"
2022,March,3 Southern Metro,Total,"76,792","4,807.7"
2022,March,4 Western,Ararat,949,"8,071.1"
2022,March,4 Western,Ballarat,"7,569","6,524.4"
2022,March,4 Western,Buloke,222,"3,627.5"
2022,March,4 Western,Campaspe,"2,412","6,255.8"
2022,March,4 Western,Central Goldfields,820,"6,065.1"
2022,March,4 Western,Colac-Otway,"1,210","5,450.9"
2022,March,4 Western,Corangamite,580,"3,625.2"
2022,March,4 Western,Gannawarra,559,"5,306.6"
2022,March,4 Western,Glenelg,"1,201","5,990.3"
2022,March,4 Western,Golden Plains,420,"1,658.7"
2022,March,4 Western,Greater Bendigo,"7,476","6,092.7"
2022,March,4 Western,Greater Geelong,"14,527","5,252.0"
2022,March,4 Western,Hepburn,436,"2,630.8"
2022,March,4 Western,Hindmarsh,301,"5,374.0"
2022,March,4 Western,Horsham,"1,601","7,868.1"
2022,March,4 Western,Loddon,387,"4,993.5"
2022,March,4 Western,Macedon Ranges,"1,381","2,645.5"
2022,March,4 Western,Mildura,"4,869","8,504.8"
2022,March,4 Western,Moorabool,"1,569","4,072.6"
2022,March,4 Western,Mount Alexander,709,"3,488.5"
2022,March,4 Western,Moyne,544,"3,112.5"
2022,March,4 Western,Northern Grampians,803,"6,759.8"
2022,March,4 Western,Pyrenees,304,"3,972.3"
2022,March,4 Western,Queenscliffe,118,"3,663.5"
2022,March,4 Western,Southern Grampians,798,"4,865.6"
2022,March,4 Western,Surf Coast,"1,045","2,702.2"
2022,March,4 Western,Swan Hill,"1,689","7,952.4"
2022,March,4 Western,Warrnambool,"2,197","6,175.5"
2022,March,4 Western,West Wimmera,148,"3,753.5"
2022,March,4 Western,Yarriambiack,298,"4,629.5"
2022,March,4 Western,Total,"57,142","5,388.5"
2022,March,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,899,
2022,March,Justice Institutions and Immigration Facilities,Total,899,
2022,March,Unincorporated Vic,Unincorporated Vic,73,
2022,March,Unincorporated Vic,Total,73,
2021,March,1 North West Metro,Banyule,"6,285","4,934.4"
2021,March,1 North West Metro,Brimbank,"14,510","7,379.3"
2021,March,1 North West Metro,Darebin,"11,474","7,634.3"
2021,March,1 North West Metro,Hobsons Bay,"4,457","4,830.5"
2021,March,1 North West Metro,Hume,"15,474","6,266.8"
2021,March,1 North West Metro,Maribyrnong,"7,048","8,158.8"
2021,March,1 North West Metro,Melbourne,"25,947","16,946.6"
2021,March,1 North West Metro,Melton,"9,874","5,444.8"
2021,March,1 North West Metro,Merri-bek,"10,139","5,843.8"
2021,March,1 North West Metro,Moonee Valley,"6,108","4,967.9"
2021,March,1 North West Metro,Nillumbik,"1,521","2,397.2"
2021,March,1 North West Metro,Whittlesea,"11,450","4,938.9"
2021,March,1 North West Metro,Wyndham,"12,692","4,283.2"
2021,March,1 North West Metro,Yarra,"10,825","11,827.9"
2021,March,1 North West Metro,Total,"147,804","6,676.2"
2021,March,2 Eastern,Alpine,400,"3,038.1"
2021,March,2 Eastern,Bass Coast,"2,097","5,155.5"
2021,March,2 Eastern,Baw Baw,"3,584","6,220.3"
2021,March,2 Eastern,Benalla,994,"6,885.6"
2021,March,2 Eastern,Boroondara,"5,953","3,506.1"
2021,March,2 Eastern,East Gippsland,"3,624","7,475.7"
2021,March,2 Eastern,Greater Shepparton,"5,937","8,663.9"
2021,March,2 Eastern,Indigo,426,"2,469.4"
2021,March,2 Eastern,Knox,"8,277","5,157.6"
2021,March,2 Eastern,Latrobe,"9,085","11,780.8"
2021,March,2 Eastern,Manningham,"3,369","2,677.6"
2021,March,2 Eastern,Mansfield,388,"3,833.6"
2021,March,2 Eastern,Maroondah,"5,705","4,914.9"
2021,March,2 Eastern,Mitchell,"3,162","6,360.6"
2021,March,2 Eastern,Moira,"1,628","5,361.1"
2021,March,2 Eastern,Monash,"9,565","4,958.7"
2021,March,2 Eastern,Murrindindi,663,"4,379.4"
2021,March,2 Eastern,South Gippsland,"1,262","4,153.0"
2021,March,2 Eastern,Strathbogie,453,"3,984.9"
2021,March,2 Eastern,Towong,153,"2,473.3"
2021,March,2 Eastern,Wangaratta,"1,658","5,572.9"
2021,March,2 Eastern,Wellington,"3,219","7,079.5"
2021,March,2 Eastern,Whitehorse,"6,945","4,059.6"
2021,March,2 Eastern,Wodonga,"2,416","5,591.7"
2021,March,2 Eastern,Yarra Ranges,"6,102","3,876.2"
2021,March,2 Eastern,Total,"87,065","5,113.9"
2021,March,3 Southern Metro,Bayside,"3,825","3,738.0"
2021,March,3 Southern Metro,Cardinia,"5,488","4,589.7"
2021,March,3 Southern Metro,Casey,"16,199","4,383.3"
2021,March,3 Southern Metro,Frankston,"10,201","7,243.8"
2021,March,3 Southern Metro,Glen Eira,"6,017","3,994.3"
2021,March,3 Southern Metro,Greater Dandenong,"14,213","8,877.6"
2021,March,3 Southern Metro,Kingston,"8,042","5,040.3"
2021,March,3 Southern Metro,Mornington Peninsula,"7,614","4,467.3"
2021,March,3 Southern Metro,Port Phillip,"10,172","9,833.9"
2021,March,3 Southern Metro,Stonnington,"8,941","8,419.8"
2021,March,3 Southern Metro,Total,"90,712","5,731.7"
2021,March,4 Western,Ararat,"1,086","9,182.4"
2021,March,4 Western,Ballarat,"7,188","6,332.8"
2021,March,4 Western,Buloke,244,"3,979.1"
2021,March,4 Western,Campaspe,"2,453","6,362.2"
2021,March,4 Western,Central Goldfields,820,"6,124.9"
2021,March,4 Western,Colac-Otway,"1,226","5,495.5"
2021,March,4 Western,Corangamite,682,"4,254.5"
2021,March,4 Western,Gannawarra,639,"6,019.8"
2021,March,4 Western,Glenelg,"1,048","5,224.8"
2021,March,4 Western,Golden Plains,450,"1,807.8"
2021,March,4 Western,Greater Bendigo,"7,994","6,591.8"
2021,March,4 Western,Greater Geelong,"15,506","5,723.2"
2021,March,4 Western,Hepburn,507,"3,075.5"
2021,March,4 Western,Hindmarsh,286,"5,056.6"
2021,March,4 Western,Horsham,"1,466","7,194.7"
2021,March,4 Western,Loddon,410,"5,322.6"
2021,March,4 Western,Macedon Ranges,"1,850","3,585.3"
2021,March,4 Western,Mildura,"4,400","7,723.9"
2021,March,4 Western,Moorabool,"1,990","5,249.3"
2021,March,4 Western,Mount Alexander,728,"3,619.4"
2021,March,4 Western,Moyne,508,"2,937.1"
2021,March,4 Western,Northern Grampians,894,"7,521.5"
2021,March,4 Western,Pyrenees,344,"4,515.0"
2021,March,4 Western,Queenscliffe,80,"2,472.2"
2021,March,4 Western,Southern Grampians,791,"4,796.3"
2021,March,4 Western,Surf Coast,"1,164","3,091.8"
2021,March,4 Western,Swan Hill,"1,856","8,680.6"
2021,March,4 Western,Warrnambool,"2,199","6,206.1"
2021,March,4 Western,West Wimmera,122,"3,066.9"
2021,March,4 Western,Yarriambiack,333,"5,115.2"
2021,March,4 Western,Total,"59,264","5,656.0"
2021,March,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,"1,270",
2021,March,Justice Institutions and Immigration Facilities,Total,"1,270",
2021,March,Unincorporated Vic,Unincorporated Vic,30,
2021,March,Unincorporated Vic,Total,30,
2020,March,1 North West Metro,Banyule,"7,262","5,573.5"
2020,March,1 North West Metro,Brimbank,"15,480","7,580.3"
2020,March,1 North West Metro,Darebin,"11,894","7,573.1"
2020,March,1 North West Metro,Hobsons Bay,"4,906","5,153.7"
2020,March,1 North West Metro,Hume,"15,892","6,522.7"
2020,March,1 North West Metro,Maribyrnong,"7,304","8,168.4"
2020,March,1 North West Metro,Melbourne,"26,899","15,768.3"
2020,March,1 North West Metro,Melton,"9,320","5,369.7"
2020,March,1 North West Metro,Merri-bek,"11,099","6,165.1"
2020,March,1 North West Metro,Moonee Valley,"6,718","5,298.7"
2020,March,1 North West Metro,Nillumbik,"1,691","2,629.0"
2020,March,1 North West Metro,Whittlesea,"12,243","5,299.1"
2020,March,1 North West Metro,Wyndham,"13,871","4,828.2"
2020,March,1 North West Metro,Yarra,"11,427","11,821.6"
2020,March,1 North West Metro,Total,"156,006","6,933.3"
2020,March,2 Eastern,Alpine,438,"3,355.3"
2020,March,2 Eastern,Bass Coast,"1,786","4,585.4"
2020,March,2 Eastern,Baw Baw,"3,587","6,433.7"
2020,March,2 Eastern,Benalla,935,"6,501.2"
2020,March,2 Eastern,Boroondara,"6,520","3,665.5"
2020,March,2 Eastern,East Gippsland,"3,636","7,594.9"
2020,March,2 Eastern,Greater Shepparton,"6,382","9,320.3"
2020,March,2 Eastern,Indigo,430,"2,512.4"
2020,March,2 Eastern,Knox,"8,873","5,435.5"
2020,March,2 Eastern,Latrobe,"10,072","13,129.3"
2020,March,2 Eastern,Manningham,"3,742","2,923.7"
2020,March,2 Eastern,Mansfield,337,"3,441.6"
2020,March,2 Eastern,Maroondah,"5,919","5,003.6"
2020,March,2 Eastern,Mitchell,"3,120","6,490.1"
2020,March,2 Eastern,Moira,"1,833","6,049.9"
2020,March,2 Eastern,Monash,"9,575","4,768.6"
2020,March,2 Eastern,Murrindindi,598,"4,021.0"
2020,March,2 Eastern,South Gippsland,"1,359","4,489.3"
2020,March,2 Eastern,Strathbogie,475,"4,257.0"
2020,March,2 Eastern,Towong,155,"2,512.2"
2020,March,2 Eastern,Wangaratta,"1,747","5,918.6"
2020,March,2 Eastern,Wellington,"3,385","7,504.7"
2020,March,2 Eastern,Whitehorse,"7,350","4,157.4"
2020,March,2 Eastern,Wodonga,"2,830","6,632.9"
2020,March,2 Eastern,Yarra Ranges,"6,184","3,892.3"
2020,March,2 Eastern,Total,"91,268","5,293.7"
2020,March,3 Southern Metro,Bayside,"4,192","3,991.7"
2020,March,3 Southern Metro,Cardinia,"5,301","4,550.0"
2020,March,3 Southern Metro,Casey,"17,289","4,750.1"
2020,March,3 Southern Metro,Frankston,"11,096","7,803.6"
2020,March,3 Southern Metro,Glen Eira,"6,105","3,947.5"
2020,March,3 Southern Metro,Greater Dandenong,"14,724","8,888.7"
2020,March,3 Southern Metro,Kingston,"9,034","5,535.7"
2020,March,3 Southern Metro,Mornington Peninsula,"8,620","5,065.0"
2020,March,3 Southern Metro,Port Phillip,"9,956","9,003.9"
2020,March,3 Southern Metro,Stonnington,"9,462","8,402.5"
2020,March,3 Southern Metro,Total,"95,779","5,969.2"
2020,March,4 Western,Ararat,894,"7,501.3"
2020,March,4 Western,Ballarat,"8,710","7,801.5"
2020,March,4 Western,Buloke,254,"4,126.1"
2020,March,4 Western,Campaspe,"2,797","7,287.8"
2020,March,4 Western,Central Goldfields,866,"6,509.3"
2020,March,4 Western,Colac-Otway,"1,280","5,746.6"
2020,March,4 Western,Corangamite,548,"3,402.0"
2020,March,4 Western,Gannawarra,608,"5,749.4"
2020,March,4 Western,Glenelg,"1,165","5,809.0"
2020,March,4 Western,Golden Plains,472,"1,937.1"
2020,March,4 Western,Greater Bendigo,"8,323","6,938.3"
2020,March,4 Western,Greater Geelong,"16,996","6,388.6"
2020,March,4 Western,Hepburn,738,"4,516.8"
2020,March,4 Western,Hindmarsh,246,"4,340.2"
2020,March,4 Western,Horsham,"1,356","6,651.9"
